rna_cell,predicted_dna_cell,step,corr_val
BB002,H_363,1,0.04125543088280141
BB004,H_347,1,0.06576546021491839
BB005,H_348,1,0.05078336824369662
BB006,H_43,1,0.07873377388981419
BB007,H_135,1,0.09238799625431654
BB009,H_107,1,0.07592322998636318
BB010,H_300,1,0.05567096213859124
BB011,H_72,1,0.03923857724069326
BB013,H_335,1,0.07182088325305665
BB015,H_303,1,0.10514536789816996
BB016,H_33,1,0.06910993604739564
BB017,H_321,1,0.06147520812056136
BB018,H_66,1,0.06421902812111668
BB020,H_319,1,0.06753668713323648
BB021,H_278,1,0.06145236043671761
BB022,H_362,1,0.046759410483662535
BB026,H_369,1,0.06453153435793277
BB027,H_14,1,0.0631718995471596
BB028,H_84,1,0.026466671008791815
BB029,H_56,1,0.051841338138047276
BB030,H_186,1,0.055540685177624755
BB032,H_3,1,0.08345798473604767
BB034,H_288,1,0.04626079494124637
BB035,H_297,1,0.02724923196543828
BB036,H_293,1,0.06376025231147629
BB037,H_336,1,0.039882917560823225
BB038,H_282,1,0.0361664412876882
BB039,H_171,1,0.058999503572430306
BB042,H_323,1,0.054586626892489575
BB043,H_280,1,0.04212622476839507
BB045,H_320,1,0.04058642728045538
BB049,H_132,1,0.07297301075466459
BB051,H_146,1,0.054447642699376304
BB052,H_187,1,0.0624502207123638
BB053,H_59,1,0.07168600538906587
BB054,H_234,1,0.04673453187559947
BB055,H_330,1,0.0582088214077346
BB056,H_317,1,0.029549298195931918
BB058,H_284,1,0.08598466952258643
BB060,H_212,1,0.040205376947351726
BB062,H_175,1,0.046580343318252095
BB063,H_287,1,0.04527376136782362
BB064,H_268,1,0.05587800329305933
BB065,H_378,1,0.06818021257971034
BB066,H_270,1,0.05592356304791328
BB068,H_205,1,0.06686603636773997
BB070,H_224,1,0.0322459408899376
BB071,H_69,1,0.06148541588461032
BB072,H_209,1,0.06406555578471959
BB074,H_292,1,0.0704019686150955
BB075,H_368,1,0.036575276558325244
BB076,H_150,1,0.060827668737885934
BB077,H_149,1,0.05992973997833607
BB078,H_93,1,0.04054957865565651
BB080,H_180,1,0.0736616252415288
BB081,H_128,1,0.05308707163034878
BB082,H_198,1,0.09278473839670605
BB083,H_228,1,0.0594589872768802
BB085,H_360,1,0.05268867477221992
BB087,H_326,1,0.05445582017061818
BB088,H_144,1,0.1134545465461037
BB089,H_51,1,0.03814295845900436
BB090,H_126,1,0.06175386955984194
BB091,H_75,1,0.055124645880216865
BB092,H_95,1,0.04064755232838386
BB093,H_106,1,0.0572311153314188
BB097,H_294,1,0.03328067772019079
BB098,H_7,1,0.07140679170567912
BB100,H_134,1,0.07823078964321105
BB105,H_243,1,0.04831955863312514
BB107,H_374,1,0.11871263072257224
BB108,H_211,1,0.07492519348296468
BB109,H_143,1,0.05122991069005805
BB111,H_141,1,0.08434716677129374
BB112,H_71,1,0.06494682974996077
BB113,H_210,1,0.06133578907582836
BB114,H_79,1,0.07235264234735078
BB115,H_331,1,0.043457663457377504
BB118,H_172,1,0.06396503162671743
BB119,H_207,1,0.06750451189983685
BB120,H_96,1,0.12696971243154667
BB121,H_27,1,0.047076194984133554
BB122,H_26,1,0.06592417806425081
BB124,H_151,1,0.04871544576694783
BB125,H_76,1,0.04967643486252338
BB126,H_112,1,0.05603151642163376
BB127,H_61,1,0.1056283311895158
BB128,H_6,1,0.0686675665024724
BB129,H_200,1,0.05442308093018406
BB130,H_252,1,0.058928833269225434
BB131,H_289,1,0.07015715817533369
BB133,H_113,1,0.053593246205608736
BB134,H_31,1,0.05023886498645638
BB135,H_118,1,0.09323569555154504
BB137,H_24,1,0.0631199593459511
BB140,H_227,1,0.07242997596995082
BB141,H_295,1,0.06313478599423068
BB143,H_85,1,0.05947913722666071
BB144,H_37,1,0.01659339073746297
BB145,H_153,1,0.10177034679021289
BB146,H_279,1,0.04698410796241739
BB147,H_157,1,0.08190765669444967
BB149,H_125,1,0.06319498372675132
BB153,H_70,1,0.060216204128404165
BB154,H_17,1,0.10439553289849121
BB155,H_91,1,0.04606080385003124
BB157,H_281,1,0.05715965492788862
BB158,H_138,1,0.0416707335137932
BB159,H_92,1,0.08976235530757068
BB160,H_290,1,0.09267222626851122
BB162,H_220,1,0.057308368567200105
BB163,H_222,1,0.07071103623616866
BB164,H_145,1,0.050515368905411674
BB165,H_344,1,0.05398320566355889
BB166,H_248,1,0.05925537193514637
BB167,H_225,1,0.06686962181877536
BB171,H_313,1,0.05897550029796371
BB174,H_35,1,0.07908968935137303
BB175,H_38,1,0.07345138246554754
BB177,H_364,1,0.0626794937604
BB178,H_246,1,0.06213401585103895
BB181,H_131,1,0.08181031743376192
BB183,H_166,1,0.0851965328705482
BB184,H_87,1,0.052490108802991604
BB185,H_83,1,0.1342076380428374
BB186,H_247,1,0.05564177287356093
BB187,H_202,1,0.06229176017592019
BB188,H_218,1,0.05487183468437645
BB189,H_173,1,0.08550632880766615
BB191,H_199,1,0.07333984180286446
BB192,H_316,1,0.06259620506003154
BB193,H_189,1,0.08196295088064609
BB194,H_73,1,0.06665008524500857
BB195,H_257,1,0.03808850596421711
BB197,H_2,1,0.08167622236317051
BB198,H_80,1,0.07839724936044606
BB199,H_195,1,0.04875265472181065
BB202,H_161,1,0.084026433127104
BB205,H_235,1,0.05810198827580449
BB206,H_296,1,0.08611055597318654
BB207,H_90,1,0.07693490764638378
BB208,H_174,1,0.0726299353233191
BB209,H_104,1,0.07349714400436352
BB210,H_119,1,0.0650994906281403
BB212,H_155,1,0.04186772524346507
BB214,H_0,1,0.02523877844131738
BB215,H_44,1,0.06414717812109505
BB216,H_302,1,0.04911348436112895
BB217,H_114,1,0.07055764102981692
BB218,H_299,1,0.08528820297709769
BB219,H_120,1,0.07456062905687756
BB221,H_267,1,0.04940812915388632
BB222,H_55,1,0.04997799228840979
BB224,H_47,1,0.05104342717017532
BB226,H_219,1,0.033744113605073116
BB228,H_176,1,0.04379095070110654
BB229,H_197,1,0.07984844960001632
BB231,H_123,1,0.029458919959391924
BB234,H_340,1,0.026133787896849805
BB235,H_353,1,0.10095819265156476
BB236,H_339,1,0.046265044229591275
BB237,H_271,1,0.08166604270920114
BB239,H_366,1,0.03337932755923204
BB240,H_139,1,0.06465216675165796
BB242,H_372,1,0.08861215886858169
BB243,H_116,1,0.06131670890532773
BB248,H_8,1,0.11174519932241718
BB250,H_346,1,0.055331485025300164
BB251,H_193,1,0.05598343800822718
BB256,H_1,1,0.044291250327168956
BB258,H_124,1,0.0792754206044502
BB260,H_214,1,0.07122927475909217
BB261,H_181,1,0.04486471586561134
BB263,H_242,1,0.050399662514576185
BB266,H_108,1,0.06094300208842382
BB267,H_110,1,0.06676455364266871
BB268,H_308,1,0.05786453118147943
BB271,H_383,1,0.05895783787000059
BB274,H_312,1,0.05343868118211881
BB275,H_259,1,0.05161638106674287
BB280,H_232,1,0.08015753541844499
BB281,H_97,1,0.052269564238919056
BB285,H_241,1,0.04747654847690679
BB287,H_117,1,0.0920377616212871
BB288,H_167,1,0.053988980812743524
BB290,H_22,1,0.046632918241995926
BB291,H_191,1,0.047606633656075606
BB292,H_250,1,0.05430204152837643
BB295,H_273,1,0.06214048135621988
BB298,H_229,1,0.07141050297527583
BB299,H_100,1,0.08347750214688783
BB312,H_160,1,0.04685566894391366
BB316,H_74,1,0.04428926272279601
BB317,H_343,1,0.10696088284139041
BB320,H_169,1,0.06927543666302928
BB321,H_274,1,0.08366167629492705
BB326,H_41,1,0.05636572152084103
BB328,H_329,1,0.08179865736367155
BB335,H_260,1,0.07815464276607498
BB337,H_251,1,0.06575017137109966
BB340,H_184,1,0.07781838311832474
BB341,H_25,1,0.06831374917990726
BB342,H_307,1,0.07848490174458082
BB343,H_203,1,0.052896618777100904
BB344,H_67,1,0.04184791860075204
BB346,H_337,1,0.0830827418313986
BB347,H_204,1,0.06683114352260942
BB354,H_88,1,0.08538913211113536
BB356,H_137,1,0.04165426632580943
BB357,H_52,1,0.03514211050176105
BB358,H_42,1,0.047696168907396384
BB369,H_341,1,0.05021915671231767
BB370,H_140,1,0.05246700859332697
BB372,H_269,1,0.06012776614014456
BB375,H_109,1,0.07156609903923612
BB376,H_49,1,0.02760722226853735
BB379,H_382,1,0.043243402307958256
BB381,H_327,1,0.038329129577617325
BB382,H_188,1,0.056869186362278695
BB384,H_12,1,0.062105976654625084
BB196,H_133,TEST,0.01800034693849626
